App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-io;AbstractFileUtilsDeleteDirectoryTest;;257;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;AbstractOriginTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\build\AbstractOrigin.java;240;30;16;1;1;0;2;0;0;3;1;0;0;2;2;1;0;0;4;13;0;0;2
commons-io;Builder;;68;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;Foo;;111;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;ByteArrayOriginTest;;92;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;CharSequenceOriginTest;;110;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
commons-io;InputStreamOriginTest;;97;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;OutputStreamOriginTest;;135;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;RandomAccessFileOriginTest;;62;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;ReaderOriginTest;;95;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;URIOriginTest;;68;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
commons-io;WriterStreamOriginTest;;135;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;ByteOrderMarkTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\ByteOrderMark.java;156;13;23;1;0;0;0;5;0;16;0;0;0;0;3;0;0;0;2;0;0;0;2
commons-io;ByteOrderParserTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\ByteOrderParser.java;49;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;FileChannelsTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\channels\FileChannels.java;361;19;39;0;2;0;2;0;0;0;0;0;0;1;0;3;0;2;4;5;0;0;1
commons-io;CharsetDecodersTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\charset\CharsetDecoders.java;54;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CharsetEncodersTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\charset\CharsetEncoders.java;54;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;CharsetsTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\Charsets.java;125;13;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-io;ComparatorAbstractTest;;133;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-io;CompositeFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\CompositeFileComparator.java;118;4;0;3;0;0;0;0;0;7;0;0;0;0;4;0;0;1;0;0;0;0;3
commons-io;DefaultFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\DefaultFileComparator.java;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
commons-io;DirectoryFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\DirectoryFileComparator.java;58;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
commons-io;ExtensionFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\ExtensionFileComparator.java;58;2;0;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;LastModifiedFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\LastModifiedFileComparator.java;74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
commons-io;NameFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\NameFileComparator.java;58;2;0;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
commons-io;PathFileComparatorTest;C:\Users\vicfr\.jnose_projects\commons-io\src\main\java\org\apache\commons\io\comparator\PathFileComparator.java;58;2;0;1;1;0;0;0;0;7;0;0;0;0;0;0;0;2;0;0;0;0;0
