App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
jenkins;CLIConnectionFactoryTest;C:\Users\vicfr\.jnose_projects\jenkins\cli\src\main\java\hudson\cli\CLIConnectionFactory.java;25;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
jenkins;HexDumpTest;C:\Users\vicfr\.jnose_projects\jenkins\cli\src\main\java\hudson\cli\HexDump.java;51;4;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
jenkins;PlainCLIProtocolTest;C:\Users\vicfr\.jnose_projects\jenkins\cli\src\main\java\hudson\cli\PlainCLIProtocol.java;166;1;3;1;0;1;0;0;0;1;3;0;0;0;2;1;0;0;0;0;0;0;0
jenkins;PrivateKeyProviderTest;C:\Users\vicfr\.jnose_projects\jenkins\cli\src\main\java\hudson\cli\PrivateKeyProvider.java;133;11;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1
jenkins;QuotedStringTokenizerTest;C:\Users\vicfr\.jnose_projects\jenkins\cli\src\main\java\hudson\util\QuotedStringTokenizer.java;95;9;1;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;Point;;122;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;ClassicPluginStrategyTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\ClassicPluginStrategy.java;72;2;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0
jenkins;ViewOptionHandlerTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\cli\handlers\ViewOptionHandler.java;310;26;1;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;14;0;0;2
jenkins;ListJobsCommandTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\cli\ListJobsCommand.java;206;13;7;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;4;0;0;0
jenkins;LineTransformationOutputStreamTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\LineTransformationOutputStream.java;67;4;0;0;0;0;3;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
jenkins;UrlAnnotatorTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\console\UrlAnnotator.java;75;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;EnvVarsTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\EnvVars.java;166;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;FilePathTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\FilePath.java;1216;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;FunctionsTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\Functions.java;705;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;GetLocaleStaticHelpUrlTest;;239;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins;LauncherTest;C:\Users\vicfr\.jnose_projects\jenkins\core\src\main\java\hudson\Launcher.java;127;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
