repo,commit,refactoring
commons-io,f4b721c63e9e1db2f72dbf44d2c651f380391367,RemoveIgnoredTest
commons-io,58ef141840ea1f40136f1c104afe27c443f70550,AddAssertionMessage
commons-io,b1c3d9d676c39512b7bbe9a02af57bfb2ef3dd15,AddAssertionMessage
commons-io,79efcff87c0db645582fffbcef7305aa489cc6f8,AddAssertionMessage
commons-io,152e4f18e8aa94cf0eae1a8b4edda04adf9993df,AddAssertionMessage
commons-io,ba82fe6714f36e244eff230add077a3157ecff1f,ReplaceTryCatchWithAssertThrows
commons-io,ba82fe6714f36e244eff230add077a3157ecff1f,AddAssertionMessage
commons-io,fc6790179d54db9849ba91b9f09716900d139a05,AddAssertionMessage
commons-io,aa43f4f9f31a49d06a6860d6b6569ec751a6d707,AddAssertionMessage
commons-io,933e3c435e6a9014c1888a40520cf891ea3cf69b,AddAssertionMessage
commons-io,5d937c9f2223ae704d0477c504797ce988155015,AddAssertionMessage
commons-io,f7c43343679d65129200f88aa82744dfe43d2d76,AddAssertionMessage
commons-io,8167452d31d2e41deb4b4071283250a242b4e688,AddAssertionMessage
commons-io,59129bcf283ffa5a46d0872e173a4e037575c581,ReplaceTryCatchWithAssertThrows
commons-io,3da7eb16c88178e59390bde2139cd8a2e9089d09,ReplaceTryCatchWithAssertThrows
commons-io,3da7eb16c88178e59390bde2139cd8a2e9089d09,AddAssertionMessage
commons-io,4bd93ec056640bc973c9b80c33b12b162a96f9d8,RemoveRedundantPrint
commons-io,7806142dfe5dfdc2e1ff84d07b716da6ad926da9,AddAssertionMessage
commons-io,dd63fa3b53b4029b026d276a3c5564fa5aac42d1,RemoveIgnoredTest
commons-io,3e7f57784c2fa8190fb3c75c977920ba6022de66,RemoveIgnoredTest
commons-io,5e8d3f489d8c98594e2e58cbfd612b9581f21791,RemoveIgnoredTest
commons-io,7f31d000ffa78aeb281f3c0b9db61ef4200d3547,AddAssertionMessage
commons-io,a28f806cf0144748d08da8e1991a0f4f012c7a33,AddAssertionMessage
commons-io,819cd6e03cdc90a018efb7b4299a88c66d416658,AddAssertionMessage
commons-io,2a0718fc784753544e294f66a56a83eef7a0ea5f,AddAssertionMessage
commons-io,d3e5bd6de8bc96abbadccea8b934dc038a32e90c,RemoveRedundantPrint
commons-io,d36381fbba8c3f106dab55f9a777c21632a1f2dc,ReplaceTryCatchWithAssertThrows
commons-io,d36381fbba8c3f106dab55f9a777c21632a1f2dc,AddAssertionMessage
commons-io,adcb56a89c7ba546aa97228ea98df7be6ef9aec0,RenameTestClass
commons-io,1e84a779275fb05f701eb425e07c4ce6deda18af,AddAssertionMessage
commons-io,5e5f4abd68a932e9de8ea894b55268ebee1886ce,AddAssertionMessage
commons-io,ba967e37989bf21a3f2244f2b1b104cbb5b7b22a,AddAssertionMessage
commons-io,fc55598500b678bef559c74dd3a277c3a6868a57,AddAssertionMessage
commons-io,43953ce681c3ef8f99a8059aa6b6bc0bc20ce96d,RenameTestClass
commons-io,23460adf8c5e236d2c4e291fba8c09c556ec1868,AddAssertionMessage
commons-io,37ce4d5b702285b1c5178ff0256a01a5f937c6d1,AddAssertionMessage
commons-io,0671c86b0af8a4e604ad3da465ef1a88576a0fb5,AddAssertionMessage
commons-io,8d8935e0d6118b35eb744f16b4ad819758d87218,AddAssertionMessage
commons-io,681d84dfeab6006dc3218323dc66f426fc2e13f6,AddAssertionMessage
commons-io,8814b6d7efa235fc1410c9699eb136da780d70a2,AddAssertionMessage
commons-io,2a730ab8e1605fe88df4a219ac6b73a5c3bfa333,ReplaceTryCatchWithAssertThrows
commons-io,2a730ab8e1605fe88df4a219ac6b73a5c3bfa333,AddAssertionMessage
commons-io,954bd4409e6420294a48031764c65b9bda1e83be,AddAssertionMessage
commons-io,07466437c4b691afdafb1fc4a9a28300ad45c94e,AddAssertionMessage
commons-io,df770deffd9917b06da33cc547fea22ebfc29226,AddAssertionMessage
commons-io,551f39bcab991cfef7bf893efa223775fbc88bb3,AddAssertionMessage
commons-io,150ba4af81b71517d3b44c0669b0da0f445e6ac3,ReplaceTryCatchWithAssertThrows
commons-io,7ecca22f175c644da3096940a4ce899be5b33740,AddAssertionMessage
commons-io,cd63f78f80e1fce218cb33a768625f7f1e59974b,AddAssertionMessage
commons-io,4ea91d20dfa730bf2ce2120f7bdfbe0384d0c29a,ReplaceTryCatchWithAssertThrows
commons-io,663ea741e498b94e9e5a3e4a282e56d283f15826,AddAssertionMessage
commons-io,7b003afc65109c26da0f31e24d03841556ebc6d0,RenameTestClass
commons-io,c8dcd5e9c64b0cbd98b4028e0529d7af2ac81a83,AddAssertionMessage
commons-io,fdfdf5c7249bb6dbbec0091e29574f3b067cb6e0,AddAssertionMessage
commons-io,fffa8406955ca838a53e5092a6300df4d579baa9,ReplaceTryCatchWithAssertThrows
commons-io,021dbec0aee5eddfcd2a4b3b9ad0bb87ff3cc8be,RenameTestClass
commons-io,d929d05991ca677efaedb3d51abacb40dd1464d0,ReplaceTryCatchWithAssertThrows
commons-io,d929d05991ca677efaedb3d51abacb40dd1464d0,AddAssertionMessage
commons-io,6320b11102599812b4d8915b7565750f16c1f619,ReplaceTryCatchWithAssertThrows
commons-io,a3f9c8e97a3463b76a2ccb0adaba246388244553,ReplaceTryCatchWithAssertThrows
commons-io,4aab769c3279ea63b7bcdaa163c50761bc540f8c,ReplaceTryCatchWithAssertThrows
commons-io,9009c0019af6175e9d57669f29ca044e58a3549c,AddAssertionMessage
commons-io,7f13b6720530a3daf40420a91cb0b9e632558154,ReplaceTryCatchWithAssertThrows
commons-io,6f9c53281f9d6e1180bcd5b031637be5bd62ccab,ReplaceTryCatchWithAssertThrows
commons-io,4810d9c57276b584942cf93ae297f10a12ab128c,AddAssertionMessage
commons-io,240eda8bd8c1165def702bb53f749a3c42158d87,AddAssertionMessage
commons-io,240eda8bd8c1165def702bb53f749a3c42158d87,RemoveIgnoredTest
commons-io,121aa64f1ba8b3eda93af4c3770168cb4470656f,RemoveIgnoredTest
commons-io,62925e3084c9e72ae4659c00364a490252368326,ReplaceTryCatchWithAssertThrows
commons-io,62925e3084c9e72ae4659c00364a490252368326,AddAssertionMessage
commons-io,62925e3084c9e72ae4659c00364a490252368326,RemoveIgnoredTest
commons-io,d47d625275b05643459d47ea9862e827bd672653,RemoveIgnoredTest
commons-io,c819ca0c3fcdbb6641faca23b7920d1a5bfb917d,ReplaceTryCatchWithAssertThrows
commons-io,c819ca0c3fcdbb6641faca23b7920d1a5bfb917d,AddAssertionMessage
commons-io,85e029c52ab339c150f275cad25be9e494e31c4d,AddAssertionMessage
commons-io,547e8c9ca7e6900c0cdfb9fa2fc3df9f8da83d2b,ReplaceTryCatchWithAssertThrows
commons-io,547e8c9ca7e6900c0cdfb9fa2fc3df9f8da83d2b,AddAssertionMessage
commons-io,84bbc86a9409e4ee76dd9334876404cea842bcf4,ReplaceTryCatchWithAssertThrows
commons-io,69e3b819a154793128ec7c0336d33623f6cc8a21,AddAssertionMessage
commons-io,218b5e7b7d76654004f4122c674308f78c87954e,AddAssertionMessage
commons-io,6aaf6f581f63e4de59cb1355197dd452a47c0c2e,AddAssertionMessage
commons-io,23c837f830724a342bbbfa3ae9061ecf48cf4a3b,ReplaceTryCatchWithAssertThrows
commons-io,23c837f830724a342bbbfa3ae9061ecf48cf4a3b,AddAssertionMessage
commons-io,17bb2a7b54d379082d2b2df290c4d1bedbd02220,ReplaceTryCatchWithAssertThrows
commons-io,17bb2a7b54d379082d2b2df290c4d1bedbd02220,AddAssertionMessage
commons-io,17bb2a7b54d379082d2b2df290c4d1bedbd02220,RemoveIgnoredTest
commons-io,dcb09db922e1edbd6dc6cb1531b827451d58aa83,ReplaceTryCatchWithAssertThrows
